!Development of a reduced n-dodecane-PAH mechanism and its Application for n-dodecane Soot Predictions
!Hu Wang, Youngchul Ra, Ming Jia and Rolf. D. Reitz
!Submitted to Fuel
!100 species and 432 reactions
 c6h12           2   485.857     5.328     0.000     0.000     0.000
 c6h12ooh        2   541.500     5.674     1.800     0.000     1.000
 c6h12ooho2      2   541.500     5.674     1.800     0.000     1.000
 c6ket24         2   467.000     6.548     1.800     0.000     1.000
 c6h12oh         2   437.300     6.168     0.000     0.000     1.000
 c6h12o          2   537.467     5.643     0.000     0.000     0.000
 c6h112-4        2   482.473     5.307     0.000     0.000     0.000
 c6h11o2-4       2   541.500     5.674     1.800     0.000     1.000
 c6h11           2   482.473     5.307     0.000     0.000     0.000
 c5h11           2   440.735     5.041     0.000     0.000     0.000
 c5h10           2   386.200     5.489     0.400     0.000     1.000
 c5h9            2   396.800     5.458     0.000     0.000     1.000
 c5h11o2         2   523.200     5.664     1.700     0.000     1.000
 c5h10ooh        2   523.200     5.664     1.700     0.000     1.000
 c4h9cho         2   476.000     5.778     2.600     0.000     1.000
 c4h9coch2       2   503.700     6.020     2.000     0.000     1.000
 c4h9co          2   476.000     5.778     2.600     0.000     1.000
 c4h9            2   352.000     5.240     0.000     0.000     1.000
 c4h9o2          2   496.000     5.200     0.000     0.000     1.000
 c4h8ooh         2   496.000     5.200     0.000     0.000     1.000
 c4h8ooho2       2   496.000     5.200     0.000     0.000     1.000
 c4ket23         2   476.000     5.778     2.600     0.000     1.000
 c4h9o           2   496.000     5.200     0.000     0.000     1.000
 c4h8            2   355.000     4.650     0.000     0.000     1.000
 c4h7            2   355.000     4.650     0.000     0.000     1.000
 c4h7o           2   496.000     5.200     0.000     0.000     1.000
 c4h4            2   357.000     5.180     0.000     0.000     1.000
 c4h3            2   357.000     5.180     0.000     0.000     1.000
 c3h7cho         2   464.200     5.009     2.600     0.000     1.000
 c3h7            2   303.400     4.810     0.000     0.000     1.000
 c3h6            2   307.800     4.140     0.000     0.000     1.000
 c3h5            2   316.000     4.220     0.000     0.000     1.000
 c3h7o2          2   481.500     4.997     1.700     0.000     1.000
 c3h6ooh         2   435.200     4.662     2.700     0.000     1.000
 c3h6ooho2       2   435.200     4.662     2.700     0.000     1.000
 c3ket21         2   464.200     5.009     2.600     0.000     1.000
 c3h7o           2   481.500     4.997     1.700     0.000     1.000
 c3h6cho         2   464.200     5.009     2.600     0.000     1.000
 ch3coch2        2   435.500     4.860     0.000     0.000     1.000
 c2h5cho         2   424.600     4.820     0.000     0.000     1.000
 c2h5co          2   424.600     4.820     0.000     0.000     1.000
 c2h3cho         2   428.800     4.958     2.900     0.000     1.000
 c2h4            2   238.400     3.496     0.000     0.000     1.500
 c2h5            2   247.500     4.350     0.000     0.000     1.500
 c2h6            2   247.500     4.350     0.000     0.000     1.500
 ch3o2           2   481.800     3.626     0.000     0.000     1.000
 ch2co           2   436.000     3.970     0.000     0.000     2.000
 ch2cho          2   436.000     3.970     0.000     0.000     2.000
 ch3co           2   436.000     3.970     0.000     0.000     2.000
 ch3cho          2   436.000     3.970     0.000     0.000     2.000
 ch3oco          2   395.000     4.037     1.300     0.000     1.000
 ch3oh           2   481.800     3.626     0.000     0.000     1.000
 ch2oh           2   417.000     3.690     1.700     0.000     2.000
 hcco            2   150.000     2.500     0.000     4.000     1.000
 n               0    71.400     3.298     0.000     0.000     0.000
 n2o             1   232.400     3.828     0.000     0.000     1.000
 no              1    97.530     3.621     0.000     1.760     4.000
 no2             2   200.000     3.500     0.000     0.000     1.000
 c2h             1   209.000     4.100     0.000     0.000     2.500
 c3h2            2   209.000     4.100     0.000     0.000     1.000
 c3h3            1   324.800     4.290     0.000     0.000     1.000
 c4h2            1   357.000     5.180     0.000     0.000     1.000
 c4h5            2   357.000     5.180     0.000     0.000     1.000
 c5h5            2   408.000     5.200     0.419     8.000     1.000
 c6h5o           2   450.000     5.500     0.700    10.320     1.000
 A1-             2   412.300     5.349     0.000     0.000     1.000
 A1c2h-          2   535.600     5.720     0.770    12.000     1.000
 A1c2h           2   535.600     5.720     0.770    12.000     1.000
 A1c2h3          2   546.200     6.000     0.130    15.000     1.000
 A2-             2   630.400     6.180     0.000    16.500     1.000
 A2r5            2   693.100     6.470     0.000    18.000     1.000
 A3-             2   837.500     7.275     0.000     0.000     0.000
 A1              2   464.800     5.290     0.000    10.320     1.000
 A2              2   630.400     6.180     0.000    16.500     1.000
 A3              2   772.000     6.960     0.000    38.800     1.000
 A4              2   834.900     7.240     0.000    45.000     1.000
